stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"52265","52265",San Pablo Dam Rd + El Portal Dr,37.964532,-122.317442,,"","","","","","0",""
"52195","52195",San Pablo Dam Rd + Greenridge Dr,37.963757,-122.295339,,"","","","","","0",""
"58867","58867",San Pablo Dam Rd + Hillcrest Rd,37.96471,-122.314953,,"","","","","","0",""
"55872","55872",San Pablo Dam Rd + Hillcrest Rd,37.964944,-122.314939,,"","","","","","0",""
"52659","52659",San Pablo Dam Rd + Lois Ln,37.957019,-122.278617,,"","","","","","0",""
"57792","57792",San Pablo Dam Rd + Milton Dr,37.966556,-122.305504,,"","","","","","0",""
"53105","53105",San Pablo Dam Rd + Oak Creek Rd,37.95471,-122.275653,,"","","","","","0",""
"57791","57791",San Pablo Dam Rd + Pitt Way,37.965334,-122.312069,,"","","","","","0",""
"56613","56613",San Pablo Dam Rd + Princeton Plaza,37.962861,-122.325415,,"","","","","","0",""
"56311","56311",San Pablo Dam Rd + Princeton Plaza,37.962365,-122.32588,,"","","","","","0",""
"55674","55674",San Pablo Dam Rd + Trailer Ct,37.965064,-122.298102,,"","","","","","0",""
"53216","53216",San Pablo Dam Rd + Valley View Rd,37.960485,-122.283655,,"","","","","","0",""
"55675","55675",Santa Clara Av + 8th St,37.773159,-122.272867,,"","","","","","0",""
"55995","55995",Santa Clara Av + 8th St,37.773303,-122.272594,,"","","","","","0",""
"55378","55378",Santa Clara Av + 9th St,37.77311,-122.270665,,"","","","","","0",""
"56558","56558",Santa Clara Av + 9th St,37.773245,-122.270845,,"","","","","","0",""
"55944","55944",Santa Clara Av + Bay St,37.772879,-122.264772,,"","","","","","0",""
"55537","55537",Santa Clara Av + Bay St,37.773076,-122.26492,,"","","","","","0",""
"57733","57733",Santa Clara Av + Broadway,37.76368,-122.238582,,"","","","","","0",""
"51591","51591",Santa Clara Av + Caroline St,37.773022,-122.268217,,"","","","","","0",""
"51437","51437",Santa Clara Av + Chestnut St,37.769484,-122.251594,,"","","","","","0",""
"55579","55579",Santa Clara Av + Chestnut St,37.769728,-122.251761,,"","","","","","0",""
